[2025-12-20 23:00:01] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x96e | src=10.216.16.8:34142 -> dst=10.47.111.60:80 | http=PATCH /api/v1/orders 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.18
[2025-12-21 00:28:57] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xf44 | src=10.241.100.14:19411 -> dst=10.232.42.237:443 | http=PATCH / 204 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:web.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.31
[2025-12-21 00:28:57] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x2b2 | src=10.90.145.127:43837 -> dst=10.146.167.229:8443 | http=PATCH /actuator/health 404 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:api.example.lab | neden="Health-check başarılı." conf=0.12
[2025-12-21 00:29:02] [SALDIRI] KRITIK: Firmware Enjeksiyonu (Simülasyon) | Aksiyon: Bloklandı | Stage: Execution | Rule: FW-INJECT-9001 | ID: 0x15e | src=118.89.167.66:39864 -> dst=10.19.57.76:443 | http=PATCH /api/v1/payments 403 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:test pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:web.example.lab | neden="Beklenmedik imza/format ve tekrar denemeler kritik ihlal göstergesi." conf=0.81
[2025-12-21 00:29:06] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xa38 | src=10.243.88.189:27224 -> dst=10.138.219.56:8443 | http=PATCH /actuator/health 204 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.23
[2025-12-21 00:29:12] [SALDIRI] KRITIK: Firmware Enjeksiyonu (Simülasyon) | Aksiyon: Bloklandı | Stage: Execution | Rule: FW-INJECT-9001 | ID: 0xc42 | src=191.255.237.249:13363 -> dst=10.16.27.188:80 | http=DELETE /api/v1/users 200 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:api.example.lab | neden="Yetkisiz binary/firmware benzeri payload pattern’i tespit edildi." conf=0.94
[2025-12-21 00:29:17] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xad6 | src=10.191.215.149:8595 -> dst=10.215.135.5:80 | http=GET /api/v1/payments 401 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:test pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:api.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.41
[2025-12-21 00:29:17] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xd7 | src=10.106.39.254:50866 -> dst=10.198.141.34:8443 | http=DELETE /api/v1/orders 204 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:test pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.13
[2025-12-21 00:29:19] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xb5c | src=10.61.151.82:22942 -> dst=10.238.128.12:80 | http=PATCH /actuator/env 400 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.31
[2025-12-21 00:29:20] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x2f9 | src=10.186.188.23:24715 -> dst=10.241.221.62:443 | http=PUT /login 204 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:web.example.lab | neden="Health-check başarılı." conf=0.15
[2025-12-21 00:29:25] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x4d1 | src=10.167.216.6:12008 -> dst=10.86.150.149:443 | http=PUT /wp-login.php 403 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:auth.example.lab | neden="Pod metrikleri stabil." conf=0.13
[2025-12-21 00:29:28] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xba9 | src=10.252.178.42:35556 -> dst=10.201.62.81:8443 | http=PATCH /actuator/env 404 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:auth.example.lab | neden="Health-check başarılı." conf=0.24
[2025-12-21 00:29:30] [SALDIRI] UYARI: Yan Hareket / Ağ Keşfi | Aksiyon: Bloklandı | Stage: Reconnaissance | Rule: NET-SCAN-1001 | ID: 0xec5 | src=69.59.80.75:21035 -> dst=10.159.186.228:8443 | http=DELETE /api/v1/orders 200 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:pay.example.lab | neden="Kısa sürede çoklu hedef/port denemesi tespit edildi." conf=0.86
[2025-12-21 00:29:36] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x674 | src=10.162.27.139:54395 -> dst=10.180.243.190:80 | http=POST /api/v1/payments 200 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.43
[2025-12-21 00:29:37] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x618 | src=10.64.231.55:63438 -> dst=10.113.46.171:80 | http=DELETE /api/v1/users 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.26
[2025-12-21 00:29:41] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x47c | src=10.148.66.200:59635 -> dst=10.204.29.182:8443 | http=PATCH /api/v1/users 301 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:pay.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.25
[2025-12-21 00:29:43] [SALDIRI] UYARI: Yan Hareket / Ağ Keşfi | Aksiyon: Bloklandı | Stage: Reconnaissance | Rule: NET-SCAN-1001 | ID: 0x6c4 | src=10.223.73.71:63436 -> dst=10.74.64.59:80 | http=DELETE /api/v1/payments 201 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:pay.example.lab | neden="Kısa sürede çoklu hedef/port denemesi tespit edildi." conf=0.94
[2025-12-21 00:29:46] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xecf | src=10.121.142.236:10648 -> dst=10.216.200.82:80 | http=DELETE /api/v1/payments 401 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:dev pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.17
[2025-12-21 00:29:47] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xc1d | src=10.147.52.25:61870 -> dst=10.109.243.251:80 | http=POST /api/v1/payments 500 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:dev pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.32
[2025-12-21 00:29:51] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xd68 | src=10.231.192.14:1921 -> dst=10.57.116.252:8080 | http=GET /admin 500 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.27
[2025-12-21 00:29:53] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x51e | src=10.244.17.25:55818 -> dst=10.218.184.40:8080 | http=POST /login 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:monitoring pod:auth-6c5d7f6cbb-9p3a2 node:worker-1 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.38
[2025-12-21 00:29:53] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x59b | src=10.167.203.143:2193 -> dst=10.229.137.165:8080 | http=POST /actuator/env 200 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.11
[2025-12-21 00:29:58] [SALDIRI] UYARI: Yan Hareket / Ağ Keşfi | Aksiyon: Bloklandı | Stage: Reconnaissance | Rule: NET-SCAN-1001 | ID: 0xb8a | src=103.105.88.74:42668 -> dst=10.39.218.241:80 | http=GET /actuator/env 400 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:auth pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:auth.example.lab | neden="Kısa sürede çoklu hedef/port denemesi tespit edildi." conf=0.94
[2025-12-21 00:30:04] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x261 | src=10.27.201.129:9067 -> dst=10.103.45.196:443 | http=GET /wp-login.php 429 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:api.example.lab | neden="Health-check başarılı." conf=0.41
[2025-12-21 00:30:06] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xf54 | src=10.70.177.1:50613 -> dst=10.109.176.242:8443 | http=GET /.env 201 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.34
[2025-12-21 00:30:07] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x708 | src=10.161.251.60:60543 -> dst=10.250.130.47:80 | http=PUT /api/v1/users 200 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.16
[2025-12-21 00:30:11] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xbd4 | src=10.73.175.13:63889 -> dst=10.168.69.170:8080 | http=POST / 429 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:dev pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.34
[2025-12-21 00:30:15] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x522 | src=10.235.178.117:48318 -> dst=10.76.113.134:80 | http=DELETE /login 201 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:web.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.13
[2025-12-21 00:30:17] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xe08 | src=10.243.168.49:57939 -> dst=10.190.22.46:8080 | http=DELETE /actuator/env 301 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.35
[2025-12-21 00:30:17] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x709 | src=10.164.242.16:55482 -> dst=10.155.106.150:80 | http=POST /wp-login.php 200 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:auth.example.lab | neden="Kısa süreli tekrarlayan handshake hataları fuzzing davranışına benziyor." conf=0.88
[2025-12-21 00:30:19] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x730 | src=10.71.192.167:54089 -> dst=10.27.3.159:443 | http=DELETE /login 400 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:web.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.13
[2025-12-21 00:30:22] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x4e7 | src=10.224.118.140:52992 -> dst=10.63.49.58:443 | http=DELETE / 500 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.24
[2025-12-21 00:30:25] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xbf0 | src=10.182.164.167:18312 -> dst=10.66.104.235:80 | http=GET /actuator/health 200 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:web.example.lab | neden="Health-check başarılı." conf=0.3
[2025-12-21 00:30:26] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x724 | src=10.248.181.57:25344 -> dst=10.237.35.254:8443 | http=PUT /login 400 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:web.example.lab | neden="TLS el sıkışmasında anormal sürüm/şifre takımı denemeleri tespit edildi." conf=0.93
[2025-12-21 00:30:30] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xba0 | src=10.51.35.184:64138 -> dst=10.220.47.27:8080 | http=PUT /api/v1/orders 200 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:web-5c7b9d4cdd-hm8z1 node:worker-1 route:api.example.lab | neden="Health-check başarılı." conf=0.27
[2025-12-21 00:30:30] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xe57 | src=10.238.4.199:42378 -> dst=10.110.248.147:443 | http=GET /.env 200 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:api.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.41
[2025-12-21 00:30:31] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x6cc | src=10.138.229.250:29309 -> dst=10.152.65.77:8080 | http=DELETE /api/v1/orders 201 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:worker-2 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.12
[2025-12-21 00:30:33] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x506 | src=10.66.12.209:59834 -> dst=10.230.81.233:80 | http=PATCH /admin 403 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:api.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.4
[2025-12-21 00:30:39] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xed4 | src=10.222.167.244:48809 -> dst=10.228.40.212:8443 | http=PUT /api/v1/payments 201 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.19
[2025-12-21 00:30:42] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x142 | src=10.89.24.30:21730 -> dst=10.201.255.205:443 | http=GET / 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.4
[2025-12-21 00:30:43] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x4b0 | src=10.130.139.245:35046 -> dst=10.221.183.80:8080 | http=GET / 200 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.11
[2025-12-21 00:30:46] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xf8 | src=10.225.179.44:19508 -> dst=10.184.208.5:443 | http=PUT /.env 401 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.26
[2025-12-21 00:30:46] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x9a1 | src=10.87.54.203:45671 -> dst=10.196.180.46:8080 | http=GET /actuator/health 500 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.3
[2025-12-21 00:30:46] [SALDIRI] UYARI: Yan Hareket / Ağ Keşfi | Aksiyon: Bloklandı | Stage: Reconnaissance | Rule: NET-SCAN-1001 | ID: 0x757 | src=10.140.246.244:13390 -> dst=10.247.198.225:80 | http=GET /api/v1/orders 201 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:dev pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:api.example.lab | neden="Kısa sürede çoklu hedef/port denemesi tespit edildi." conf=0.78
[2025-12-21 00:30:47] [SALDIRI] KRITIK: Firmware Enjeksiyonu (Simülasyon) | Aksiyon: Bloklandı | Stage: Execution | Rule: FW-INJECT-9001 | ID: 0xe51 | src=10.142.194.152:50902 -> dst=10.214.144.94:443 | http=PUT /api/v1/payments 200 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:dev pod:auth-6c5d7f6cbb-9p3a2 node:infra-1 route:pay.example.lab | neden="Yetkisiz binary/firmware benzeri payload pattern’i tespit edildi." conf=0.79
[2025-12-21 00:30:48] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x15 | src=10.252.80.200:38687 -> dst=10.234.166.251:80 | http=PUT /api/v1/payments 404 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.11
[2025-12-21 00:30:51] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xba | src=10.253.9.165:27061 -> dst=10.244.124.123:8443 | http=DELETE /api/v1/payments 429 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:test pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.26
[2025-12-21 00:30:54] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x9a0 | src=10.62.216.33:29546 -> dst=10.228.156.114:8443 | http=DELETE /.env 401 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:auth.example.lab | neden="Health-check başarılı." conf=0.31
[2025-12-21 00:30:55] [SALDIRI] KRITIK: Firmware Enjeksiyonu (Simülasyon) | Aksiyon: Bloklandı | Stage: Execution | Rule: FW-INJECT-9001 | ID: 0x6fb | src=113.254.7.136:57211 -> dst=10.181.215.193:8443 | http=PUT /actuator/env 200 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:web.example.lab | neden="Beklenmedik imza/format ve tekrar denemeler kritik ihlal göstergesi." conf=0.95
[2025-12-21 00:30:57] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x5c3 | src=10.244.246.235:24317 -> dst=10.56.139.9:8443 | http=DELETE / 201 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:dev pod:payment-7b86c9c7b8-q2v7m node:worker-2 route:auth.example.lab | neden="Health-check başarılı." conf=0.34
[2025-12-21 00:31:00] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x564 | src=10.234.165.34:15210 -> dst=10.189.199.162:8443 | http=PUT /api/v1/payments 404 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.22
[2025-12-21 00:31:06] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xbbe | src=10.94.1.182:59907 -> dst=10.170.13.145:8080 | http=POST / 500 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.26
[2025-12-21 00:31:11] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x300 | src=10.30.139.216:27440 -> dst=10.80.218.210:80 | http=POST /.env 401 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.38
[2025-12-21 00:31:15] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xc7f | src=10.100.184.12:55487 -> dst=10.28.246.155:8443 | http=GET /.env 400 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:pay.example.lab | neden="Pod metrikleri stabil." conf=0.27
[2025-12-21 00:31:20] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x637 | src=10.57.199.50:57026 -> dst=10.219.170.6:8443 | http=POST /admin 429 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:api.example.lab | neden="Pod metrikleri stabil." conf=0.11
[2025-12-21 00:31:23] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xc56 | src=10.106.27.123:5173 -> dst=10.23.10.135:443 | http=POST /api/v1/payments 429 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:web.example.lab | neden="Health-check başarılı." conf=0.17
[2025-12-21 00:31:25] [SALDIRI] TEHDIT: SQL Injection Denemesi | Aksiyon: Bloklandı | Stage: Initial Access | Rule: WAF-SQLI-3003 | ID: 0xfdb | src=25.194.180.233:46523 -> dst=10.60.60.166:443 | http=PATCH /api/v1/payments 401 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:payments pod:gateway-7f8c9d7b6b-x4n1k node:worker-2 route:api.example.lab | neden="Parametrelerde SQLi imzaları (OR 1=1, UNION SELECT) tespit edildi." conf=0.81
[2025-12-21 00:31:25] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xae2 | src=10.49.42.168:13381 -> dst=10.74.14.208:443 | http=PATCH / 400 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:auth pod:payment-7b86c9c7b8-q2v7m node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.44
[2025-12-21 00:31:30] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xa0c | src=10.246.182.226:33851 -> dst=10.146.81.136:8080 | http=DELETE /api/v1/orders 403 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.18
[2025-12-21 00:31:33] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x9e1 | src=10.40.232.148:11403 -> dst=10.104.38.103:8080 | http=GET /admin 400 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:web.example.lab | neden="TLS el sıkışmasında anormal sürüm/şifre takımı denemeleri tespit edildi." conf=0.85
[2025-12-21 00:31:36] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xc9e | src=10.249.123.188:12261 -> dst=10.137.40.206:8443 | http=DELETE /api/v1/users 404 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:auth pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:auth.example.lab | neden="Pod metrikleri stabil." conf=0.19
